time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_left_put_otm,n_right_call_otm,n_atm,flag_unbalanced_smile,message,tte_min,tte_max,moneyness_min,moneyness_max
115,-3.108584591177326,1.131142168683616,-0.7023136549596705,1.0073051840266412,0.4055333839709108,True,1.627718930787807e-05,0.0005202704183365112,0.0010691917805644264,0.0008321096841899857,112,30,58,24,False,`gtol` termination condition is satisfied.,0.6356164383561644,2.649315068493151,-0.0836201612892334,0.1994065754844796
116,-2.979409983178499,1.0816295598564782,-0.6901163002772527,1.0140744342552763,0.4072331583689526,True,9.474621922836443e-06,0.0004366237536313902,0.0009442337356003482,0.0007322904305728026,105,20,57,28,False,`gtol` termination condition is satisfied.,0.6328767123287671,2.646575342465753,-0.066259552927787,0.1996869191511517
119,-3.028854646955214,1.0965318798524135,-0.673761058224058,1.0053651995605346,0.4307381208335269,True,1.9520823759412428e-05,0.0005847050162302954,0.001385270607358238,0.0010848464213225604,107,24,57,26,False,`gtol` termination condition is satisfied.,0.6246575342465753,2.638356164383562,-0.0775747069675923,0.1867519575201127
120,-2.8986217392210034,1.076110436649707,-0.6908486727848526,0.9920934635537498,0.4205653099101082,True,8.442053915036003e-06,0.0004163336431888299,0.0006863334200892949,0.0005596679449791391,103,12,63,28,False,`gtol` termination condition is satisfied.,0.6219178082191781,2.6356164383561644,-0.0561957596171825,0.1942572955817251
121,,,,,,False,,,,,0,0,0,0,True,Only 99 obs for 121 after cleaning — need >= 100.,,,,
122,,,,,,False,,,,,0,0,0,0,True,Only 52 obs for 122 after cleaning — need >= 100.,,,,
123,,,,,,False,,,,,0,0,0,0,True,Only 89 obs for 123 after cleaning — need >= 100.,,,,
126,,,,,,False,,,,,0,0,0,0,True,Only 97 obs for 126 after cleaning — need >= 100.,,,,
127,,,,,,False,,,,,0,0,0,0,True,Only 95 obs for 127 after cleaning — need >= 100.,,,,
128,-2.851284635592563,1.0874789802885598,-0.7064774989930284,0.937689483244338,0.46580458094663496,True,1.5831060740332934e-05,0.0005643078298094177,0.0010026743213915063,0.0006927144594926967,102,12,62,28,False,`ftol` termination condition is satisfied.,0.6,2.6136986301369864,-0.0539429541344929,0.1997659167820275
129,,,,,,False,,,,,0,0,0,0,True,Only 94 obs for 129 after cleaning — need >= 100.,,,,
130,,,,,,False,,,,,0,0,0,0,True,Only 92 obs for 130 after cleaning — need >= 100.,,,,
133,,,,,,False,,,,,0,0,0,0,True,Only 91 obs for 133 after cleaning — need >= 100.,,,,
134,,,,,,False,,,,,0,0,0,0,True,Only 87 obs for 134 after cleaning — need >= 100.,,,,
135,,,,,,False,,,,,0,0,0,0,True,Only 86 obs for 135 after cleaning — need >= 100.,,,,
136,,,,,,False,,,,,0,0,0,0,True,Only 73 obs for 136 after cleaning — need >= 100.,,,,
137,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 137 after cleaning — need >= 100.,,,,
140,,,,,,False,,,,,0,0,0,0,True,Only 73 obs for 140 after cleaning — need >= 100.,,,,
141,,,,,,False,,,,,0,0,0,0,True,Only 74 obs for 141 after cleaning — need >= 100.,,,,
142,,,,,,False,,,,,0,0,0,0,True,Only 70 obs for 142 after cleaning — need >= 100.,,,,
143,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 143 after cleaning — need >= 100.,,,,
144,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 144 after cleaning — need >= 100.,,,,
148,,,,,,False,,,,,0,0,0,0,True,Only 70 obs for 148 after cleaning — need >= 100.,,,,
149,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 149 after cleaning — need >= 100.,,,,
150,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 150 after cleaning — need >= 100.,,,,
151,,,,,,False,,,,,0,0,0,0,True,Only 70 obs for 151 after cleaning — need >= 100.,,,,
154,,,,,,False,,,,,0,0,0,0,True,Only 62 obs for 154 after cleaning — need >= 100.,,,,
155,,,,,,False,,,,,0,0,0,0,True,Only 67 obs for 155 after cleaning — need >= 100.,,,,
156,,,,,,False,,,,,0,0,0,0,True,Only 63 obs for 156 after cleaning — need >= 100.,,,,
157,,,,,,False,,,,,0,0,0,0,True,Only 72 obs for 157 after cleaning — need >= 100.,,,,
158,,,,,,False,,,,,0,0,0,0,True,Only 76 obs for 158 after cleaning — need >= 100.,,,,
161,,,,,,False,,,,,0,0,0,0,True,Only 78 obs for 161 after cleaning — need >= 100.,,,,
162,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 162 after cleaning — need >= 100.,,,,
163,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 163 after cleaning — need >= 100.,,,,
164,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 164 after cleaning — need >= 100.,,,,
165,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 165 after cleaning — need >= 100.,,,,
