,Pers|global,HAR|global,HAR-J|global,HAR-CJ|global,Pers|1M,HAR|1M,HAR-J|1M,HAR-CJ|1M,Pers|3M,HAR|3M,HAR-J|3M,HAR-CJ|3M,Pers|6M,HAR|6M,HAR-J|6M,HAR-CJ|6M,Pers|1Y,HAR|1Y,HAR-J|1Y,HAR-CJ|1Y,Pers|2Y,HAR|2Y,HAR-J|2Y,HAR-CJ|2Y,HAR-J|global|WF
2019-07-03,-5.702470172062123,-5.573687047182821,-5.575351187171427,-5.591509618285853,-5.320705036119511,-5.194808135009872,-5.19215180570702,-5.211350798888024,-5.6200561841114505,-5.486911032170434,-5.48755847047215,-5.505004130731615,-5.801226451381672,-5.663927044100638,-5.6634531540512825,-5.68371579222127,-6.03843544885201,-5.903994900074544,-5.904012951939977,-5.923264398313602,-6.409301187700359,-6.30720254102248,-6.308124918293932,-6.323507885821496,-5.576701230279563
2019-07-05,-5.748819972133264,-5.482494842068465,-5.486052996000733,-5.542567685900752,-5.310257264456229,-5.015435121145318,-5.012972788061005,-5.097744922836018,-5.694363253136026,-5.4474384027000635,-5.450671481277544,-5.492920887539405,-5.90770609195716,-5.703166520554842,-5.706442589902695,-5.717456144874847,-6.1634358259988895,-5.985705956200922,-5.9929668096564015,-5.979964156199017,-6.548917529820192,-6.384755255690294,-6.394266926259063,-6.388223754714372,-5.4903133153432995
2019-07-08,-5.7357975204464955,-5.516346850821234,-5.5192082318485145,-5.544153361983154,-5.296188740989397,-5.070382810229686,-5.068604151543715,-5.094768171178431,-5.6836691470045855,-5.474511161376946,-5.477278467012493,-5.50332884365845,-5.897840050249427,-5.697457801764524,-5.700383231044497,-5.729865306612813,-6.150878653547775,-5.953071456495025,-5.959268712222872,-5.981952190454199,-6.528981907884063,-6.344254818730604,-6.352067231304902,-6.364634970516007,-5.523025028671545
2019-07-09,-5.741196019982596,-5.678271926432646,-5.68055777021522,-5.60102990255827,-5.297645739132727,-5.19317920789787,-5.191820213389975,-5.128462746699405,-5.690991444909688,-5.664668346482395,-5.666799668226535,-5.576186856288271,-5.908521128206659,-5.909910119032102,-5.912738826216991,-5.826463399060899,-6.164049995591408,-6.143468548065513,-6.149807713095902,-6.079254069288622,-6.540673662588918,-6.437087444613022,-6.445862038583887,-6.428418325031822,-5.680833871199723
2019-07-10,-5.760963276754291,-5.655858734185747,-5.659396137556608,-5.648314641140555,-5.326479392865549,-5.184168859127116,-5.181708887272152,-5.1712841013461945,-5.708521445127612,-5.636880876719601,-5.640294022303691,-5.631583382701688,-5.916755113501721,-5.881399124891991,-5.884555283649442,-5.886122364024083,-6.16333780779345,-6.118789502017134,-6.123900839838749,-6.127148789782898,-6.526645863678086,-6.425243795790273,-6.431852630003928,-6.4375341352152065,-5.660193205089906
2019-07-11,-5.766936746718349,-5.754758529302909,-5.758066437297931,-5.686558696054691,-5.331518706182153,-5.2461705603904,-5.243793134865826,-5.191967659472288,-5.716202179121746,-5.759512598184391,-5.762649433456126,-5.682925742265001,-5.924269296085598,-6.0263384169182235,-6.029433033040332,-5.959895890902993,-6.168950096996899,-6.262781632728348,-6.2675259025366685,-6.21030911349778,-6.528438397307104,-6.536204269811846,-6.543796259115951,-6.5046898893193115,-5.756698312955989
2019-07-12,-5.774628786457212,-6.0090960202308485,-6.012322672124581,-5.877573969636467,-5.337477735367726,-5.544426403249949,-5.541463952306064,-5.433414943038048,-5.723329791316695,-5.979723657149743,-5.9827627453945755,-5.843161798611505,-5.932380728747174,-6.171664998680449,-6.174714581657424,-6.042589939421063,-6.179823647804718,-6.3535966665001435,-6.358872913004228,-6.248350725765078,-6.551153099430235,-6.598859750571937,-6.608165387895887,-6.546550061923712,-6.005579022573628
2019-07-15,-5.771719977161883,-6.078992867250456,-6.0831398684658,-6.063646598842965,-5.336648316019171,-5.675582659785509,-5.671727034868166,-5.612724579176104,-5.720361158656984,-6.051243413789535,-6.055419509043674,-6.0440135208685,-5.9272874035310075,-6.221587621730938,-6.2242601697893765,-6.231592527513801,-6.172274361309458,-6.401163069193799,-6.4028566244917995,-6.412390040097641,-6.540130975212589,-6.644280211981701,-6.647515684807102,-6.654994213265689,-6.075176446422047
2019-07-16,-5.770838603819889,-6.049306145296675,-6.053464760313135,-6.041537479493178,-5.3348792985194535,-5.624671981755834,-5.620538055407492,-5.612092634612898,-5.7176959147129125,-5.991783444854667,-5.995931082265223,-5.997282623302366,-5.925701304843131,-6.169190637715108,-6.171940349148944,-6.175518584645745,-6.174677290670754,-6.372639102313809,-6.375132282395649,-6.371837998130631,-6.5572738941076825,-6.6800626949621975,-6.684985767293649,-6.672744639212229,-6.046129060273567
2019-07-17,-5.743661883404328,-5.778627770086066,-5.782295735739659,-5.847920965423205,-5.312655510134752,-5.3519448907240355,-5.348385584719602,-5.424784257907354,-5.689065358642284,-5.717285085225436,-5.7208404951202665,-5.788395397376453,-5.893058831017,-5.91179041549603,-5.913987357042736,-5.971209457186852,-6.139261686594195,-6.15474252596741,-6.157134263321989,-6.196804405298849,-6.520694171186068,-6.547736796986953,-6.550539104563875,-6.573750907364939,-5.780761806415529
2019-07-18,-5.736461246405872,-5.8001020300942026,-5.8030396380812395,-5.810040298305599,-5.305577189682061,-5.372188656790898,-5.369253372006798,-5.389650778298147,-5.68153368207605,-5.729678411095926,-5.732497276562068,-5.744331146586765,-5.885926456547312,-5.922169204158102,-5.9241058364174375,-5.932214371591666,-6.132394907499461,-6.161653512262746,-6.164329463711891,-6.165115748327434,-6.5153548930483804,-6.553538758286391,-6.557742510726806,-6.552962458573865,-5.800980728815045
2019-07-19,-5.7310490148575735,-5.7383448716429815,-5.741128127910616,-5.757525540775058,-5.304515734979715,-5.3587270819567605,-5.356018657167917,-5.359908025010197,-5.674644784796814,-5.65242119649619,-5.655073355201357,-5.681376082771467,-5.874385947726697,-5.821602471923841,-5.823365555795825,-5.855314192644592,-6.11876743517715,-6.069029511080705,-6.071699996673361,-6.093184600957926,-6.504763780717321,-6.498253819141262,-6.502145159485173,-6.507861029967399,-5.740375268728171
2019-07-22,-5.734373642953504,-5.74678369563362,-5.749488796387355,-5.742115932426225,-5.314190752201865,-5.419682195307325,-5.417153643219704,-5.359519700461072,-5.678363977849581,-5.674102346038507,-5.676583063227342,-5.668412909445932,-5.871994268437907,-5.817255222930231,-5.818951823197926,-5.8323620674184085,-6.10817554470523,-6.036235020152263,-6.038761642921842,-6.057237605638158,-6.4778732929199245,-6.420944327651816,-6.423853491199069,-6.441184148706973,-5.748508129851516
2019-07-23,-5.719306707328734,-5.6481702277157915,-5.650617979010804,-5.683586211705474,-5.297606451299573,-5.2456822783624135,-5.243094302319327,-5.289224762323313,-5.663251967474176,-5.579650088883988,-5.581925801932236,-5.615124015021055,-5.858679084199325,-5.756803181180272,-5.758164743749477,-5.786765952325091,-6.097037157559291,-5.9943742267633375,-5.996768168618714,-6.016045014840849,-6.470504075258931,-6.38811796412496,-6.3916781833996605,-6.401496522448202,-5.651789913277734
2019-07-24,-5.735745553158546,-5.7507082553450015,-5.753568126030512,-5.758532665891542,-5.3105588459817294,-5.339416049547464,-5.336456282572958,-5.359632898606979,-5.681724285627163,-5.683057736177586,-5.685777609419522,-5.691045321854944,-5.878969502971304,-5.858904445187739,-5.860752881627041,-5.862880796628161,-6.117728302034458,-6.088641960892572,-6.09147021254761,-6.089239291339769,-6.490415561158421,-6.468727664220606,-6.472937829307668,-6.468696341752445,-5.7525246010033735
2019-07-25,-5.724557073691772,-5.694777068401759,-5.6974021109151955,-5.725659461028116,-5.29971654314485,-5.292558186356012,-5.289837930211692,-5.3286939270348945,-5.670517485232635,-5.623465004445148,-5.62600479200175,-5.657731176692227,-5.867846506010904,-5.800512143938547,-5.8020946262541155,-5.829567663161051,-6.106460168212987,-6.037290542194024,-6.039716650108305,-6.0572526087742,-6.478311737109995,-6.428245863731878,-6.431709767800141,-6.438938483241958,-5.6975889016264
2019-07-26,-5.747378316591941,-5.7103511926028805,-5.713686436698405,-5.73027376228901,-5.315787163121844,-5.278773632675853,-5.2758205701218,-5.307669995075896,-5.698148567683054,-5.658893417736529,-5.66220961598948,-5.6773591565025665,-5.89903554224853,-5.850960412535861,-5.8535483941147985,-5.866389675299951,-6.137017251991762,-6.0794930948672,-6.083430415845337,-6.091003122107897,-6.505336451269219,-6.440151927387858,-6.445257759951537,-6.449535317569802,-5.713456629294191
2019-07-29,-5.745273244798102,-5.788785937055987,-5.791566826415351,-5.7444231526716685,-5.314279759397241,-5.3561915618262645,-5.353789187653971,-5.3049141702445635,-5.695698047847167,-5.723522940826653,-5.726346473421642,-5.68894393778481,-5.896070462455205,-5.9136329040258655,-5.915972160362299,-5.893312215037581,-6.134007430853357,-6.1511396338485405,-6.154464386934836,-6.135496910032741,-6.503277817677935,-6.532161144644172,-6.5367992276303655,-6.520125718780097,-5.789613560972118
2019-07-30,-5.736680432137524,-5.713844556150153,-5.716948709044078,-5.75016339803302,-5.3060961899869445,-5.279350686395486,-5.276533039353647,-5.315812122785275,-5.687867905177553,-5.650412522368498,-5.653586647870933,-5.690580238094237,-5.887861897736487,-5.855540765920594,-5.857703390593856,-5.892052684091201,-6.124133054516024,-6.106877868357809,-6.1093185792104245,-6.133008006874129,-6.4895162351768585,-6.50147993450017,-6.5038417645626065,-6.517575160313832,-5.7167122790422535
2019-07-31,-5.68587749472727,-5.461266507715993,-5.462853562993328,-5.54823837712881,-5.257817378510899,-5.042133018233701,-5.040643721240529,-5.132471245184292,-5.63545777288338,-5.392847042175694,-5.394526342048854,-5.481038301121263,-5.83536794993367,-5.604525674525206,-5.605409227510361,-5.679451757753281,-6.0726633944155095,-5.876879717353134,-5.878686016162839,-5.93124919787354,-6.439487944131773,-6.308186854047569,-6.310071683543571,-6.338917216745818,-5.4680776316828394
2019-08-01,-5.658334996976179,-5.3939947489381685,-5.394439187742947,-5.464184612345662,-5.229901041786385,-4.981778344926058,-4.981272296321631,-5.054445916464883,-5.605152878979986,-5.318763223574282,-5.319262729859169,-5.391567797300187,-5.808085659120617,-5.528210324255281,-5.52830713873699,-5.591465970933332,-6.052860327518959,-5.8105468075230675,-5.812217273632873,-5.856002071866924,-6.424223408646665,-6.250767680916903,-6.2532067280931,-6.2755737794332305,-5.401109858263125
2019-08-02,-5.677403733743927,-5.561700377298301,-5.561682600136527,-5.483247088915791,-5.248246534120429,-5.150514342114527,-5.150484225923782,-5.074520375571636,-5.624352702731204,-5.487027309923975,-5.486947316833336,-5.408900363728342,-5.827655315807977,-5.674401983642248,-5.674897092537784,-5.609081306389203,-6.073277580408379,-5.9209223648821485,-5.924255123003811,-5.875435426634045,-6.440342304050979,-6.2952964453787725,-6.299977963294265,-6.290735869556854,-5.564569338542926
2019-08-05,-5.265378392738473,-4.764081912254682,-4.8463054541213175,-4.790095676242873,-4.89629249589823,-4.4168622028938875,-4.398527401750708,-4.30866465094212,-5.152418192642229,-4.632033014829444,-4.709345176155779,-4.683024391541742,-5.351043132992997,-4.857099341772958,-4.968403108320976,-4.978050568167514,-5.639358938638859,-5.208967863725845,-5.374241778194949,-5.314569217396332,-6.092146453390768,-5.763469129571479,-5.92394544567324,-5.8163508759337335,-4.829532886730648
2019-08-06,-5.219848763651378,-4.7737156960339195,-4.853810634372729,-4.570376297506607,-4.864817680465272,-4.439251347483317,-4.42219854793801,-4.126394934379405,-5.100700958810157,-4.6379361797933605,-4.713004487709465,-4.436682579312566,-5.295101376045472,-4.847088354204622,-4.956421678694979,-4.737322324847351,-5.575711342977786,-5.173115923518332,-5.335607808387053,-5.087961861943643,-6.010144222919769,-5.687139167692009,-5.844822298230732,-5.596587606726936,-4.836871563276308
2019-08-07,-5.222959131620767,-4.959051645144841,-5.037944186995338,-4.615869787387535,-4.86775144223085,-4.6154961906546506,-4.599369621352133,-4.1738080211908954,-5.10300144780943,-4.819396248822512,-4.89317952940769,-4.476827633394464,-5.297980448503378,-4.999789667601129,-5.108907827394028,-4.7795155779195335,-5.5804196730371345,-5.2966520610345125,-5.460029348050603,-5.132047244001517,-6.01920002361999,-5.769916240334777,-5.931114106518279,-5.6378574988395735,-5.014233709557992
2019-08-08,-5.183236461052885,-4.7600736400141885,-4.838801418314154,-4.518926766822027,-4.832507179224041,-4.429670434389724,-4.41344286497878,-4.088912551341558,-5.061624219099963,-4.620060047951809,-4.693767092628688,-4.372273147670223,-5.2536192890070375,-4.82326646100136,-4.931164855634092,-4.6697231489065265,-5.5363813786848635,-5.15295317940099,-5.313413888903359,-5.036377467801682,-5.9787242826703455,-5.676203652700894,-5.832647050787981,-5.571140064007147,-4.816991065866689
2019-08-09,-5.179515426247588,-4.844761597303158,-4.92266944393225,-4.505614365521162,-4.829283093849037,-4.515470233074223,-4.499902422901089,-4.076528726365968,-5.057499871060243,-4.703361855723691,-4.776220502266055,-4.358613019811595,-5.249244534270223,-4.887890045953703,-4.9955004394446005,-4.655440434619179,-5.532201798252017,-5.195474100555898,-5.356099465182134,-5.022760053826096,-5.977697104126834,-5.701919193540986,-5.8597869506960185,-5.564898038949913,-4.900587597109826
2019-08-12,-5.1447414245403635,-4.895272599182663,-4.972884082990371,-4.971133609090556,-4.797371053603223,-4.557036336507003,-4.54097320108771,-4.640170388671462,-5.022031865943103,-4.7598228883351155,-4.8325284788369345,-4.837832106542781,-5.212412384658221,-4.96244959843428,-5.068503150249622,-5.0259269023661295,-5.494134358042563,-5.273020204108469,-5.429073769534891,-5.319704614505579,-5.9380863647044,-5.761312880984841,-5.913099084835555,-5.784831548810674,-4.948750897513086
